 There are           3 threads
 Running Iteration Number            1
 Running Iteration Number            2
 Running Iteration Number            3
           0  0.000000000000000E+000
           1  0.307205621017285     
           2  0.584339815421976     
           3  0.804274757358271     
           4  0.945481682332598     
           5  0.994138272681972     
           6  0.945481682332598     
           7  0.804274757358271     
           8  0.584339815421977     
           9  0.307205621017285     
          10  7.797843424221369E-316
